,year_month,Austin_MVT_911
0,2017-04-01,1
1,2017-05-01,2
2,2017-06-01,6
3,2017-07-01,3
4,2017-08-01,3
5,2017-09-01,9
6,2017-10-01,6
7,2017-11-01,6
8,2017-12-01,6
9,2018-01-01,5
10,2018-02-01,10
11,2018-03-01,9
12,2018-04-01,4
13,2018-05-01,7
14,2018-06-01,12
15,2018-07-01,14
16,2018-08-01,12
17,2018-09-01,10
18,2018-10-01,13
19,2018-11-01,10
20,2018-12-01,7
21,2019-01-01,27
22,2019-02-01,15
23,2019-03-01,23
24,2019-04-01,17
25,2019-05-01,16
26,2019-06-01,26
27,2019-07-01,27
28,2019-08-01,22
29,2019-09-01,23
30,2019-10-01,29
31,2019-11-01,26
32,2019-12-01,21
33,2020-01-01,20
34,2020-02-01,25
35,2020-03-01,20
36,2020-04-01,29
37,2020-05-01,35
38,2020-06-01,44
39,2020-07-01,37
40,2020-08-01,33
41,2020-09-01,31
42,2020-10-01,47
43,2020-11-01,45
44,2020-12-01,25
45,2021-01-01,32
46,2021-02-01,39
47,2021-03-01,29
48,2021-04-01,27
49,2021-05-01,38
50,2021-06-01,34
51,2021-07-01,45
52,2021-08-01,49
53,2021-09-01,59
54,2021-10-01,54
55,2021-11-01,64
56,2021-12-01,70
57,2022-01-01,65
58,2022-02-01,71
59,2022-03-01,67
60,2022-04-01,67
61,2022-05-01,63
62,2022-06-01,81
63,2022-07-01,73
64,2022-08-01,100
65,2022-09-01,87
66,2022-10-01,74
67,2022-11-01,71
68,2022-12-01,79
69,2017-01-01,375
70,2017-02-01,313
71,2017-03-01,386
72,2017-04-01,321
73,2017-05-01,316
74,2017-06-01,328
75,2017-07-01,337
76,2017-08-01,329
77,2017-09-01,299
78,2017-10-01,399
79,2017-11-01,311
80,2017-12-01,319
81,2018-01-01,351
82,2018-02-01,312
83,2018-03-01,361
84,2018-04-01,359
85,2018-05-01,317
86,2018-06-01,389
87,2018-07-01,365
88,2018-08-01,412
89,2018-09-01,352
90,2018-10-01,380
91,2018-11-01,342
92,2018-12-01,359
93,2019-01-01,344
94,2019-02-01,360
95,2019-03-01,417
96,2019-04-01,435
97,2019-05-01,474
98,2019-06-01,460
99,2019-07-01,432
100,2019-08-01,444
101,2019-09-01,540
102,2019-10-01,496
103,2019-11-01,479
104,2019-12-01,440
105,2020-01-01,501
106,2020-02-01,455
107,2020-03-01,515
108,2020-04-01,493
109,2020-05-01,486
110,2020-06-01,519
111,2020-07-01,537
112,2020-08-01,575
113,2020-09-01,566
114,2020-10-01,577
115,2020-11-01,543
116,2020-12-01,513
117,2021-01-01,462
118,2021-02-01,396
119,2021-03-01,512
120,2021-04-01,443
121,2021-05-01,591
122,2021-06-01,562
123,2021-07-01,564
124,2021-08-01,618
125,2021-09-01,596
126,2021-10-01,554
127,2021-11-01,581
128,2021-12-01,576
129,2022-01-01,608
130,2022-02-01,543
131,2022-03-01,626
132,2022-04-01,579
133,2022-05-01,553
134,2022-06-01,581
135,2022-07-01,629
136,2022-08-01,601
137,2022-09-01,618
138,2022-10-01,575
139,2022-11-01,552
140,2022-12-01,579
