,year_month,Baltimore_MVT_911
0,2017-01,1048
1,2017-02,829
2,2017-03,754
3,2017-04,839
4,2017-05,921
5,2017-06,1040
6,2017-07,1072
7,2017-08,944
8,2017-09,882
9,2017-10,852
10,2017-11,973
11,2017-12,929
12,2018-01,927
13,2018-02,663
14,2018-03,713
15,2018-04,715
16,2018-05,743
17,2018-06,739
18,2018-07,762
19,2018-08,951
20,2018-09,797
21,2018-10,843
22,2018-11,872
23,2018-12,830
24,2019-01,761
25,2019-02,607
26,2019-03,669
27,2019-04,691
28,2019-05,738
29,2019-06,768
30,2019-07,818
31,2019-08,828
32,2019-09,706
33,2019-10,769
34,2019-11,679
35,2019-12,708
36,2020-01,603
37,2020-02,574
38,2020-03,672
39,2020-04,490
40,2020-05,521
41,2020-06,591
42,2020-07,637
43,2020-08,753
44,2020-09,667
45,2020-10,651
46,2020-11,588
47,2020-12,617
48,2021-01,578
49,2021-02,503
50,2021-03,601
51,2021-04,582
52,2021-05,708
53,2021-06,752
54,2021-07,664
55,2021-08,817
56,2021-09,710
57,2021-10,672
58,2021-11,688
59,2021-12,749
60,2022-01,725
61,2022-02,519
62,2022-03,613
63,2022-04,537
64,2022-05,616
65,2022-06,643
66,2022-07,681
67,2022-08,739
68,2022-09,815
69,2022-10,905
70,2022-11,742
71,2022-12,806
