,year_month,Boston_MVT_911
0,2017-01,132
1,2017-02,84
2,2017-03,80
3,2017-04,85
4,2017-05,112
5,2017-06,163
6,2017-07,154
7,2017-08,150
8,2017-09,110
9,2017-10,106
10,2017-11,106
11,2017-12,116
12,2018-01,100
13,2018-02,72
14,2018-03,79
15,2018-04,94
16,2018-05,120
17,2018-06,154
18,2018-07,149
19,2018-08,125
20,2018-09,150
21,2018-10,122
22,2018-11,100
23,2018-12,75
24,2019-01,74
25,2019-02,53
26,2019-03,63
27,2019-04,82
28,2019-05,90
29,2019-06,113
30,2019-07,129
31,2019-08,131
32,2019-09,134
33,2019-10,115
34,2019-11,107
35,2019-12,98
36,2020-01,91
37,2020-02,85
38,2020-03,75
39,2020-04,122
40,2020-05,99
41,2020-06,144
42,2020-07,145
43,2020-08,145
44,2020-09,136
45,2020-10,115
46,2020-11,99
47,2020-12,106
48,2021-01,79
49,2021-02,82
50,2021-03,89
51,2021-04,93
52,2021-05,114
53,2021-06,106
54,2021-07,108
55,2021-08,127
56,2021-09,127
57,2021-10,139
58,2021-11,109
59,2021-12,117
60,2022-01,113
61,2022-02,118
62,2022-03,93
63,2022-04,111
64,2022-05,113
65,2022-06,112
66,2022-07,144
67,2022-08,114
68,2022-09,120
69,2022-10,123
70,2022-11,78
71,2022-12,89
