Region,DMA
"Boston-Cambridge-Newton, MA-NH",Boston MA-Manchester NH
"New York-Newark-Jersey City, NY-NJ-PA",New York NY
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia PA
"Chicago-Naperville-Elgin, IL-IN-WI",Chicago IL
"Detroit-Warren-Dearborn, MI",Detroit MI
"Minneapolis-St.Paul-Bloomington, MN-WI",Minneapolis-St. Paul MN
"St. Louis, MO-IL",St. Louis MO
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington DC (Hagerstown MD)
"Miami-Fort Lauderdale-West Palm Beach, FL",Miami-Ft. Lauderdale FL
"Atlanta-Sandy Springs-Roswell, GA",Atlanta GA
"Tampa-St. Petersburg-Clearwater, FL",Tampa-St. Petersburg (Sarasota) FL
"Baltimore-Columbia-Towson, MD",Baltimore MD
"Dallas-Fort Worth-Arlington, TX",Dallas-Ft. Worth TX
"Houston-The Woodlands-Sugar Land, TX",Houston TX
"Phoenix-Mesa-Scottsdale, AZ",Phoenix AZ
"Denver-Aurora-Lakewood, CO",Denver CO
"Los Angeles-Long Beach-Anaheim, CA",Los Angeles CA
"San Francisco-Oakland-Hayward, CA",San Francisco-Oakland-San Jose CA
"Riverside-San Bernardino-Ontario, CA",NA
Seattle-Tacoma-Bellevue WA,Seattle-Tacoma WA
"San Diego-Carlsbad, CA",San Diego CA
Urban Hawaii,Honolulu HI
Urban Alaska,Anchorage AK
