,year_month,Denver_MVT_911
0,2017-01,413
1,2017-02,341
2,2017-03,435
3,2017-04,346
4,2017-05,414
5,2017-06,455
6,2017-07,499
7,2017-08,601
8,2017-09,578
9,2017-10,536
10,2017-11,510
11,2017-12,468
12,2018-01,475
13,2018-02,420
14,2018-03,423
15,2018-04,461
16,2018-05,457
17,2018-06,393
18,2018-07,510
19,2018-08,503
20,2018-09,498
21,2018-10,423
22,2018-11,405
23,2018-12,437
24,2019-01,394
25,2019-02,406
26,2019-03,442
27,2019-04,418
28,2019-05,463
29,2019-06,533
30,2019-07,464
31,2019-08,441
32,2019-09,415
33,2019-10,420
34,2019-11,481
35,2019-12,530
36,2020-01,448
37,2020-02,344
38,2020-03,445
39,2020-04,591
40,2020-05,625
41,2020-06,667
42,2020-07,785
43,2020-08,832
44,2020-09,950
45,2020-10,958
46,2020-11,936
47,2020-12,980
48,2021-01,1030
49,2021-02,934
50,2021-03,970
51,2021-04,1038
52,2021-05,1105
53,2021-06,1084
54,2021-07,1104
55,2021-08,1106
56,2021-09,1059
57,2021-10,1006
58,2021-11,1047
59,2021-12,1160
