,year_month,Detroit_MVT_911
0,2017-01,319
1,2017-02,257
2,2017-03,251
3,2017-04,222
4,2017-05,238
5,2017-06,22
6,2017-08,90
7,2017-09,308
8,2017-10,263
9,2017-11,241
10,2017-12,198
11,2018-01,231
12,2018-02,226
13,2018-03,232
14,2018-04,202
15,2018-05,232
16,2018-06,250
17,2018-07,232
18,2018-08,73
19,2018-10,196
20,2018-11,205
21,2018-12,185
22,2019-01,216
23,2019-02,214
24,2019-03,236
25,2019-04,243
26,2019-05,242
27,2019-06,238
28,2019-07,242
29,2019-08,99
30,2019-11,103
31,2019-12,207
32,2020-01,270
33,2020-02,220
34,2020-03,190
35,2020-04,116
36,2020-05,134
37,2020-06,189
38,2020-07,209
39,2020-08,205
40,2020-11,141
41,2020-12,151
42,2021-01,121
43,2021-02,141
44,2021-03,132
45,2021-04,142
46,2021-05,177
47,2021-06,202
48,2021-07,195
49,2021-08,196
50,2021-09,228
51,2021-10,169
52,2021-11,184
53,2021-12,125
54,2022-01,119
55,2022-02,167
56,2022-03,138
57,2022-04,147
58,2022-05,167
59,2022-06,168
60,2022-07,165
61,2022-08,136
62,2022-09,162
63,2022-10,38
64,2022-11,123
65,2022-12,109
