,year_month,Los Angeles_MVT_911
0,2018-01-01,89
1,2018-02-01,173
2,2018-03-01,256
3,2018-04-01,397
4,2018-05-01,403
5,2018-06-01,436
6,2018-07-01,498
7,2018-08-01,501
8,2018-09-01,522
9,2018-10-01,575
10,2018-11-01,583
11,2018-12-01,589
12,2019-01-01,636
13,2019-02-01,578
14,2019-03-01,684
15,2019-04-01,665
16,2019-05-01,704
17,2019-06-01,619
18,2019-07-01,708
19,2019-08-01,780
20,2019-09-01,692
21,2019-10-01,671
22,2019-11-01,728
23,2019-12-01,767
24,2020-01-01,782
25,2020-02-01,733
26,2020-03-01,806
27,2020-04-01,940
28,2020-05-01,1019
29,2020-06-01,1130
30,2020-07-01,1304
31,2020-08-01,1366
32,2020-09-01,1238
33,2020-10-01,1318
34,2020-11-01,1269
35,2020-12-01,1183
36,2021-01-01,1196
37,2021-02-01,1167
38,2021-03-01,1301
39,2021-04-01,1235
40,2021-05-01,1298
41,2021-06-01,1276
42,2021-07-01,1177
43,2021-08-01,1177
44,2021-09-01,1350
45,2021-10-01,1294
46,2021-11-01,1335
47,2021-12-01,1297
48,2022-01-01,1257
49,2022-02-01,1153
50,2022-03-01,1328
51,2022-04-01,1346
52,2022-05-01,1322
53,2022-06-01,1224
54,2022-07-01,1213
55,2022-08-01,1285
56,2022-09-01,182
57,2022-10-01,358
58,2022-11-01,394
59,2022-12-01,484
60,2018-01-01,107
61,2018-02-01,77
62,2018-03-01,104
63,2018-04-01,91
64,2018-05-01,103
65,2018-06-01,102
66,2018-07-01,94
67,2018-08-01,92
68,2018-09-01,96
69,2018-10-01,84
70,2018-11-01,83
71,2018-12-01,90
72,2019-01-01,95
73,2019-02-01,95
74,2019-03-01,91
75,2019-04-01,86
76,2019-05-01,106
77,2019-06-01,101
78,2019-07-01,94
79,2019-08-01,101
80,2019-09-01,82
81,2019-10-01,88
82,2019-11-01,83
83,2019-12-01,111
84,2020-01-01,91
85,2020-02-01,103
86,2020-03-01,95
87,2020-04-01,113
88,2020-05-01,116
89,2020-06-01,117
90,2020-07-01,140
91,2020-08-01,152
92,2020-09-01,152
93,2020-10-01,166
94,2020-11-01,152
95,2020-12-01,129
96,2021-01-01,161
97,2021-02-01,126
98,2021-03-01,147
99,2021-04-01,115
100,2021-05-01,132
101,2021-06-01,147
102,2021-07-01,131
103,2021-08-01,129
104,2021-09-01,147
105,2021-10-01,145
106,2021-11-01,127
107,2021-12-01,132
108,2022-01-01,111
109,2022-02-01,122
110,2022-03-01,160
111,2022-04-01,142
112,2022-05-01,145
113,2022-06-01,141
114,2022-07-01,142
115,2022-08-01,140
116,2022-09-01,715
117,2022-10-01,810
118,2022-11-01,673
119,2022-12-01,708
