,year_month,Nashville_MVT_911
0,2017-01,501
1,2017-02,311
2,2017-03,483
3,2017-04,521
4,2017-05,491
5,2017-06,473
6,2017-07,425
7,2017-08,377
8,2017-09,441
9,2017-10,474
10,2017-11,432
11,2017-12,510
12,2018-01,590
13,2018-02,407
14,2018-03,453
15,2018-04,408
16,2018-05,515
17,2018-06,557
18,2018-07,499
19,2018-08,548
20,2018-09,516
21,2018-10,592
22,2018-11,521
23,2018-12,534
24,2019-01,544
25,2019-02,451
26,2019-03,447
27,2019-04,386
28,2019-05,497
29,2019-06,439
30,2019-07,533
31,2019-08,460
32,2019-09,460
33,2019-10,520
34,2019-11,443
35,2019-12,432
36,2020-01,445
37,2020-02,454
38,2020-03,421
39,2020-04,347
40,2020-05,354
41,2020-06,472
42,2020-07,578
43,2020-08,607
44,2020-09,486
45,2020-10,534
46,2020-11,456
47,2020-12,447
48,2021-01,442
49,2021-02,380
50,2021-03,385
51,2021-04,391
52,2021-05,486
53,2021-06,466
54,2021-07,528
55,2021-08,525
56,2021-09,547
57,2021-10,588
58,2021-11,564
59,2021-12,478
60,2022-01,422
61,2022-02,344
62,2022-03,353
63,2022-04,442
64,2022-05,424
65,2022-06,398
66,2022-07,462
67,2022-08,464
68,2022-09,512
69,2022-10,564
70,2022-11,445
71,2022-12,461
