,year_month,New Orleans_MVT_911
0,2022-11-01,23
1,2017-01-01,303
2,2017-02-01,300
3,2017-03-01,272
4,2017-04-01,267
5,2017-05-01,332
6,2017-06-01,362
7,2017-07-01,340
8,2017-08-01,275
9,2017-09-01,277
10,2017-10-01,382
11,2017-11-01,306
12,2017-12-01,254
13,2018-01-01,312
14,2018-02-01,370
15,2018-03-01,330
16,2018-04-01,357
17,2018-05-01,417
18,2018-06-01,363
19,2018-07-01,408
20,2018-08-01,309
21,2018-09-01,408
22,2018-10-01,404
23,2018-11-01,404
24,2018-12-01,455
25,2019-01-01,450
26,2019-02-01,350
27,2019-03-01,423
28,2019-04-01,336
29,2019-05-01,421
30,2019-06-01,311
31,2019-07-01,379
32,2019-08-01,340
33,2019-09-01,376
34,2019-10-01,305
35,2019-11-01,373
36,2019-12-01,467
37,2020-01-01,522
38,2020-02-01,462
39,2020-03-01,380
40,2020-04-01,284
41,2020-05-01,326
42,2020-06-01,420
43,2020-07-01,394
44,2020-08-01,507
45,2020-09-01,515
46,2020-10-01,600
47,2020-11-01,615
48,2020-12-01,462
49,2021-01-01,483
50,2021-02-01,431
51,2021-03-01,465
52,2021-04-01,515
53,2021-05-01,529
54,2021-06-01,393
55,2021-07-01,381
56,2021-08-01,286
57,2021-09-01,380
58,2021-10-01,416
59,2021-11-01,406
60,2021-12-01,557
61,2022-01-01,554
62,2022-02-01,417
63,2022-03-01,410
64,2022-04-01,342
65,2022-05-01,459
66,2022-06-01,451
67,2022-07-01,466
68,2022-08-01,518
69,2022-09-01,557
70,2022-10-01,639
71,2022-11-01,661
72,2022-12-01,888
