,year_month,New York City_MVT_911
0,2018-01,982
1,2018-02,1005
2,2018-03,1149
3,2018-04,1305
4,2018-05,1515
5,2018-06,1578
6,2018-07,1784
7,2018-08,1883
8,2018-09,1837
9,2018-10,1937
10,2018-11,1792
11,2018-12,1773
12,2019-01,1700
13,2019-02,1520
14,2019-03,1659
15,2019-04,1802
16,2019-05,1933
17,2019-06,2014
18,2019-07,2309
19,2019-08,2388
20,2019-09,2344
21,2019-10,2407
22,2019-11,2118
23,2019-12,2126
24,2020-01,1697
25,2020-02,1580
26,2020-03,1644
27,2020-04,1276
28,2020-05,1671
29,2020-06,2077
30,2020-07,2617
31,2020-08,3038
32,2020-09,2881
33,2020-10,3084
34,2020-11,2928
35,2020-12,2720
36,2021-01,1569
37,2021-02,1394
38,2021-03,1898
39,2021-04,2018
40,2021-05,2387
41,2021-06,2578
42,2021-07,2763
43,2021-08,3049
44,2021-09,3031
45,2021-10,3423
46,2021-11,3208
47,2021-12,3209
48,2022-01,2729
49,2022-02,2625
50,2022-03,3020
51,2022-04,2871
52,2022-05,3217
53,2022-06,3361
54,2022-07,3645
55,2022-08,3664
56,2022-09,3702
57,2022-10,3815
58,2022-11,3504
59,2022-12,3711
