,year_month,Phoenix_MVT_911
0,2017-01-01,54
1,2017-02-01,96
2,2017-03-01,134
3,2017-04-01,176
4,2017-05-01,187
5,2017-06-01,241
6,2017-07-01,289
7,2017-08-01,287
8,2017-09-01,275
9,2017-10-01,324
10,2017-11-01,286
11,2017-12-01,311
12,2018-01-01,379
13,2018-02-01,310
14,2018-03-01,336
15,2018-04-01,352
16,2018-05-01,379
17,2018-06-01,383
18,2018-07-01,394
19,2018-08-01,404
20,2018-09-01,439
21,2018-10-01,439
22,2018-11-01,419
23,2018-12-01,395
24,2019-01-01,424
25,2019-02-01,329
26,2019-03-01,365
27,2019-04-01,378
28,2019-05-01,422
29,2019-06-01,440
30,2019-07-01,414
31,2019-08-01,424
32,2019-09-01,433
33,2019-10-01,477
34,2019-11-01,431
35,2019-12-01,488
36,2020-01-01,530
37,2020-02-01,531
38,2020-03-01,516
39,2020-04-01,491
40,2020-05-01,509
41,2020-06-01,493
42,2020-07-01,522
43,2020-08-01,572
44,2020-09-01,521
45,2020-10-01,563
46,2020-11-01,584
47,2020-12-01,614
48,2021-01-01,575
49,2021-02-01,536
50,2021-03-01,589
51,2021-04-01,547
52,2021-05-01,590
53,2021-06-01,646
54,2021-07-01,645
55,2021-08-01,614
56,2021-09-01,649
57,2021-10-01,658
58,2021-11-01,600
59,2021-12-01,613
60,2022-01-01,658
61,2022-02-01,513
62,2022-03-01,714
63,2022-04-01,578
64,2022-05-01,637
65,2022-06-01,558
66,2022-07-01,616
67,2022-08-01,665
68,2022-09-01,538
69,2022-10-01,594
70,2022-11-01,575
71,2022-12-01,632
72,2017-01-01,245
73,2017-02-01,211
74,2017-03-01,267
75,2017-04-01,254
76,2017-05-01,248
77,2017-06-01,270
78,2017-07-01,285
79,2017-08-01,228
80,2017-09-01,245
81,2017-10-01,272
82,2017-11-01,219
83,2017-12-01,215
84,2018-01-01,255
85,2018-02-01,191
86,2018-03-01,226
87,2018-04-01,234
88,2018-05-01,242
89,2018-06-01,187
90,2018-07-01,238
91,2018-08-01,248
92,2018-09-01,234
93,2018-10-01,246
94,2018-11-01,235
95,2018-12-01,212
96,2019-01-01,222
97,2019-02-01,200
98,2019-03-01,210
99,2019-04-01,205
100,2019-05-01,213
101,2019-06-01,220
102,2019-07-01,261
103,2019-08-01,243
104,2019-09-01,242
105,2019-10-01,240
106,2019-11-01,204
107,2019-12-01,240
108,2020-01-01,253
109,2020-02-01,257
110,2020-03-01,255
111,2020-04-01,209
112,2020-05-01,215
113,2020-06-01,214
114,2020-07-01,213
115,2020-08-01,229
116,2020-09-01,221
117,2020-10-01,280
118,2020-11-01,261
119,2020-12-01,295
120,2021-01-01,230
121,2021-02-01,255
122,2021-03-01,247
123,2021-04-01,243
124,2021-05-01,240
125,2021-06-01,258
126,2021-07-01,266
127,2021-08-01,246
128,2021-09-01,294
129,2021-10-01,306
130,2021-11-01,312
131,2021-12-01,308
132,2022-01-01,322
133,2022-02-01,270
134,2022-03-01,356
135,2022-04-01,325
136,2022-05-01,309
137,2022-06-01,303
138,2022-07-01,324
139,2022-08-01,298
140,2022-09-01,309
141,2022-10-01,289
142,2022-11-01,243
143,2022-12-01,305
