,year_month,Portland_MVT_911
0,2017-01,966
1,2017-02,947
2,2017-03,960
3,2017-04,865
4,2017-05,967
5,2017-06,857
6,2017-07,934
7,2017-08,995
8,2017-09,992
9,2017-10,1071
10,2017-11,980
11,2017-12,990
12,2018-01,1046
13,2018-02,809
14,2018-03,923
15,2018-04,880
16,2018-05,896
17,2018-06,907
18,2018-07,852
19,2018-08,987
20,2018-09,937
21,2018-10,1010
22,2018-11,1005
23,2018-12,974
24,2019-01,914
25,2019-02,928
26,2019-03,935
27,2019-04,920
28,2019-05,950
29,2019-06,933
30,2019-07,957
31,2019-08,887
32,2019-09,952
33,2019-10,951
34,2019-11,929
35,2019-12,974
36,2020-01,1001
37,2020-02,863
38,2020-03,791
39,2020-04,818
40,2020-05,723
41,2020-06,793
42,2020-07,956
43,2020-08,1120
44,2020-09,1175
45,2020-10,1144
46,2020-11,1086
47,2020-12,996
48,2021-01,1030
49,2021-02,881
50,2021-03,1081
51,2021-04,880
52,2021-05,1018
53,2021-06,1134
54,2021-07,1324
55,2021-08,1339
56,2021-09,1516
57,2021-10,1836
58,2021-11,1816
59,2021-12,1685
60,2022-01,1709
61,2022-02,1346
62,2022-03,1695
63,2022-04,1493
64,2022-05,1401
65,2022-06,1454
66,2022-07,1409
67,2022-08,1515
68,2022-09,1431
69,2022-10,1589
70,2022-11,1548
71,2022-12,1513
