,year_month,San Diego_MVT_911
0,2017-01-01,7
1,2017-02-01,8
2,2017-03-01,7
3,2017-04-01,5
4,2017-05-01,7
5,2017-06-01,14
6,2017-07-01,10
7,2017-08-01,20
8,2017-09-01,19
9,2017-10-01,18
10,2017-11-01,8
11,2017-12-01,8
12,2018-01-01,16
13,2018-02-01,24
14,2018-03-01,37
15,2018-04-01,38
16,2018-05-01,48
17,2018-06-01,34
18,2018-07-01,64
19,2018-08-01,49
20,2018-09-01,60
21,2018-10-01,62
22,2018-11-01,76
23,2018-12-01,60
24,2019-01-01,75
25,2019-02-01,67
26,2019-03-01,73
27,2019-04-01,82
28,2019-05-01,80
29,2019-06-01,67
30,2019-07-01,80
31,2019-08-01,90
32,2019-09-01,81
33,2019-10-01,64
34,2019-11-01,84
35,2019-12-01,102
36,2020-01-01,100
37,2020-02-01,76
38,2020-03-01,77
39,2020-04-01,95
40,2020-05-01,92
41,2020-06-01,120
42,2020-07-01,112
43,2020-08-01,104
44,2020-09-01,103
45,2020-10-01,131
46,2020-11-01,125
47,2020-12-01,135
48,2021-01-01,139
49,2021-02-01,135
50,2021-03-01,164
51,2021-04-01,141
52,2021-05-01,155
53,2021-06-01,160
54,2021-07-01,144
55,2021-08-01,152
56,2021-09-01,181
57,2021-10-01,209
58,2021-11-01,166
59,2021-12-01,169
60,2022-01-01,194
61,2022-02-01,165
62,2022-03-01,219
63,2022-04-01,192
64,2022-05-01,248
65,2022-06-01,237
66,2022-07-01,194
67,2022-08-01,189
68,2022-09-01,215
69,2022-10-01,241
70,2022-11-01,208
71,2022-12-01,216
72,2017-01-01,1117
73,2017-02-01,922
74,2017-03-01,983
75,2017-04-01,903
76,2017-05-01,943
77,2017-06-01,963
78,2017-07-01,892
79,2017-08-01,874
80,2017-09-01,937
81,2017-10-01,898
82,2017-11-01,866
83,2017-12-01,754
84,2018-01-01,758
85,2018-02-01,681
86,2018-03-01,751
87,2018-04-01,766
88,2018-05-01,769
89,2018-06-01,815
90,2018-07-01,877
91,2018-08-01,834
92,2018-09-01,792
93,2018-10-01,863
94,2018-11-01,796
95,2018-12-01,810
96,2019-01-01,863
97,2019-02-01,736
98,2019-03-01,767
99,2019-04-01,771
100,2019-05-01,761
101,2019-06-01,742
102,2019-07-01,768
103,2019-08-01,845
104,2019-09-01,815
105,2019-10-01,742
106,2019-11-01,750
107,2019-12-01,768
108,2020-01-01,706
109,2020-02-01,725
110,2020-03-01,664
111,2020-04-01,605
112,2020-05-01,689
113,2020-06-01,731
114,2020-07-01,780
115,2020-08-01,714
116,2020-09-01,737
117,2020-10-01,799
118,2020-11-01,723
119,2020-12-01,779
120,2021-01-01,900
121,2021-02-01,867
122,2021-03-01,833
123,2021-04-01,832
124,2021-05-01,930
125,2021-06-01,900
126,2021-07-01,851
127,2021-08-01,831
128,2021-09-01,867
129,2021-10-01,950
130,2021-11-01,864
131,2021-12-01,776
132,2022-01-01,837
133,2022-02-01,772
134,2022-03-01,845
135,2022-04-01,793
136,2022-05-01,798
137,2022-06-01,707
138,2022-07-01,864
139,2022-08-01,780
140,2022-09-01,840
141,2022-10-01,857
142,2022-11-01,759
143,2022-12-01,792
