,year_month,San Francisco_MVT_911
0,2017-01-01,11
1,2017-02-01,12
2,2017-03-01,16
3,2017-04-01,16
4,2017-05-01,17
5,2017-06-01,8
6,2017-07-01,22
7,2017-08-01,25
8,2017-09-01,16
9,2017-10-01,34
10,2017-11-01,21
11,2017-12-01,34
12,2018-01-01,8
13,2018-02-01,10
14,2018-03-01,13
15,2018-04-01,13
16,2018-05-01,17
17,2018-06-01,21
18,2018-07-01,19
19,2018-08-01,19
20,2018-09-01,26
21,2018-10-01,36
22,2018-11-01,38
23,2018-12-01,27
24,2019-01-01,4
25,2019-02-01,9
26,2019-03-01,10
27,2019-04-01,14
28,2019-05-01,19
29,2019-06-01,12
30,2019-07-01,22
31,2019-08-01,34
32,2019-09-01,35
33,2019-10-01,21
34,2019-11-01,19
35,2019-12-01,43
36,2020-01-01,8
37,2020-02-01,12
38,2020-03-01,21
39,2020-04-01,22
40,2020-05-01,41
41,2020-06-01,42
42,2020-07-01,52
43,2020-08-01,43
44,2020-09-01,41
45,2020-10-01,39
46,2020-11-01,41
47,2020-12-01,74
48,2021-01-01,9
49,2021-02-01,18
50,2021-03-01,29
51,2021-04-01,43
52,2021-05-01,36
53,2021-06-01,34
54,2021-07-01,58
55,2021-08-01,38
56,2021-09-01,4
57,2021-10-01,4
58,2021-11-01,2
59,2022-01-01,3
60,2022-02-01,13
61,2022-03-01,1
62,2022-05-01,1
63,2022-06-01,3
64,2022-07-01,1
65,2022-09-01,6
66,2022-10-01,6
67,2022-11-01,3
68,2022-12-01,3
69,2017-01-01,252
70,2017-02-01,252
71,2017-03-01,285
72,2017-04-01,300
73,2017-05-01,249
74,2017-06-01,232
75,2017-07-01,245
76,2017-08-01,258
77,2017-09-01,199
78,2017-10-01,263
79,2017-11-01,185
80,2017-12-01,180
81,2018-01-01,212
82,2018-02-01,189
83,2018-03-01,181
84,2018-04-01,219
85,2018-05-01,239
86,2018-06-01,223
87,2018-07-01,236
88,2018-08-01,203
89,2018-09-01,205
90,2018-10-01,219
91,2018-11-01,224
92,2018-12-01,207
93,2019-01-01,210
94,2019-02-01,197
95,2019-03-01,190
96,2019-04-01,208
97,2019-05-01,199
98,2019-06-01,229
99,2019-07-01,220
100,2019-08-01,229
101,2019-09-01,290
102,2019-10-01,226
103,2019-11-01,231
104,2019-12-01,247
105,2020-01-01,256
106,2020-02-01,250
107,2020-03-01,262
108,2020-04-01,296
109,2020-05-01,342
110,2020-06-01,314
111,2020-07-01,371
112,2020-08-01,351
113,2020-09-01,300
114,2020-10-01,359
115,2020-11-01,372
116,2020-12-01,370
117,2021-01-01,406
118,2021-02-01,304
119,2021-03-01,328
120,2021-04-01,317
121,2021-05-01,338
122,2021-06-01,312
123,2021-07-01,343
124,2021-08-01,387
125,2021-09-01,361
126,2021-10-01,480
127,2021-11-01,362
128,2021-12-01,386
129,2022-01-01,365
130,2022-02-01,411
131,2022-03-01,350
132,2022-04-01,361
133,2022-05-01,310
134,2022-06-01,370
135,2022-07-01,325
136,2022-08-01,349
137,2022-09-01,365
138,2022-10-01,361
139,2022-11-01,356
140,2022-12-01,347
