,year_month,Seattle_MVT_911
0,2017-01-01,12
1,2017-02-01,25
2,2017-03-01,46
3,2017-04-01,41
4,2017-05-01,47
5,2017-06-01,49
6,2017-07-01,93
7,2017-08-01,102
8,2017-09-01,91
9,2017-10-01,102
10,2017-11-01,86
11,2017-12-01,95
12,2018-01-01,122
13,2018-02-01,100
14,2018-03-01,132
15,2018-04-01,144
16,2018-05-01,112
17,2018-06-01,128
18,2018-07-01,155
19,2018-08-01,155
20,2018-09-01,160
21,2018-10-01,178
22,2018-11-01,157
23,2018-12-01,170
24,2019-01-01,109
25,2019-02-01,116
26,2019-03-01,115
27,2019-04-01,137
28,2019-05-01,135
29,2019-06-01,171
30,2019-07-01,175
31,2019-08-01,195
32,2019-09-01,182
33,2019-10-01,188
34,2019-11-01,184
35,2019-12-01,166
36,2020-01-01,188
37,2020-02-01,141
38,2020-03-01,142
39,2020-04-01,185
40,2020-05-01,147
41,2020-06-01,214
42,2020-07-01,254
43,2020-08-01,261
44,2020-09-01,275
45,2020-10-01,321
46,2020-11-01,217
47,2020-12-01,236
48,2021-01-01,245
49,2021-02-01,203
50,2021-03-01,229
51,2021-04-01,198
52,2021-05-01,188
53,2021-06-01,244
54,2021-07-01,232
55,2021-08-01,312
56,2021-09-01,333
57,2021-10-01,344
58,2021-11-01,296
59,2021-12-01,319
60,2022-01-01,340
61,2022-02-01,305
62,2022-03-01,343
63,2022-04-01,249
64,2022-05-01,328
65,2022-06-01,325
66,2022-07-01,256
67,2022-08-01,247
68,2022-09-01,232
69,2022-10-01,294
70,2022-11-01,236
71,2022-12-01,249
72,2017-01-01,198
73,2017-02-01,192
74,2017-03-01,216
75,2017-04-01,175
76,2017-05-01,185
77,2017-06-01,164
78,2017-07-01,207
79,2017-08-01,255
80,2017-09-01,219
81,2017-10-01,221
82,2017-11-01,176
83,2017-12-01,192
84,2018-01-01,188
85,2018-02-01,151
86,2018-03-01,188
87,2018-04-01,196
88,2018-05-01,184
89,2018-06-01,193
90,2018-07-01,210
91,2018-08-01,221
92,2018-09-01,204
93,2018-10-01,225
94,2018-11-01,200
95,2018-12-01,190
96,2019-01-01,199
97,2019-02-01,116
98,2019-03-01,164
99,2019-04-01,186
100,2019-05-01,204
101,2019-06-01,213
102,2019-07-01,226
103,2019-08-01,243
104,2019-09-01,224
105,2019-10-01,228
106,2019-11-01,205
107,2019-12-01,193
108,2020-01-01,228
109,2020-02-01,171
110,2020-03-01,168
111,2020-04-01,224
112,2020-05-01,172
113,2020-06-01,205
114,2020-07-01,253
115,2020-08-01,301
116,2020-09-01,282
117,2020-10-01,318
118,2020-11-01,312
119,2020-12-01,291
120,2021-01-01,242
121,2021-02-01,230
122,2021-03-01,213
123,2021-04-01,209
124,2021-05-01,212
125,2021-06-01,246
126,2021-07-01,268
127,2021-08-01,291
128,2021-09-01,348
129,2021-10-01,342
130,2021-11-01,310
131,2021-12-01,298
132,2022-01-01,311
133,2022-02-01,333
134,2022-03-01,324
135,2022-04-01,360
136,2022-05-01,338
137,2022-06-01,344
138,2022-07-01,457
139,2022-08-01,463
140,2022-09-01,459
141,2022-10-01,586
142,2022-11-01,552
143,2022-12-01,519
