,year_month,Washington DC_MVT_911
0,2017-04,195
1,2017-05,240
2,2017-06,237
3,2017-07,239
4,2017-08,278
5,2017-09,228
6,2017-10,258
7,2017-11,210
8,2017-12,228
9,2018-01,190
10,2018-02,144
11,2018-03,130
12,2018-04,154
13,2018-05,191
14,2018-06,212
15,2018-07,165
16,2018-08,187
17,2018-09,171
18,2018-10,174
19,2018-11,184
20,2018-12,163
21,2019-01,170
22,2019-02,139
23,2019-03,136
24,2019-04,188
25,2019-05,222
26,2019-06,194
27,2019-07,239
28,2019-08,264
29,2019-09,227
30,2019-10,222
31,2019-11,268
32,2019-12,246
33,2020-01,224
34,2020-02,205
35,2020-03,125
36,2020-04,72
37,2020-05,74
38,2020-06,59
39,2020-07,67
40,2020-08,78
41,2020-09,68
42,2020-10,66
43,2020-11,69
44,2020-12,170
45,2021-01,190
46,2021-02,186
47,2021-03,180
48,2021-04,169
49,2021-05,195
50,2021-06,222
51,2021-07,249
52,2021-08,255
53,2021-09,386
54,2021-10,471
55,2021-11,364
56,2021-12,418
57,2022-01,327
58,2022-02,349
59,2022-03,364
60,2022-04,367
61,2022-05,390
62,2022-06,406
63,2022-07,377
64,2022-08,425
65,2022-09,465
66,2022-10,467
67,2022-11,443
68,2022-12,508
