DATE,PCU33443344
12/1/2017,56
1/1/2018,56.1
2/1/2018,56.3
3/1/2018,56.3
4/1/2018,56.4
5/1/2018,56.2
6/1/2018,56.2
7/1/2018,55.9
8/1/2018,55.5
9/1/2018,55.9
10/1/2018,55.6
11/1/2018,55.6
12/1/2018,55.6
1/1/2019,55.1
2/1/2019,55.1
3/1/2019,55.1
4/1/2019,55.2
5/1/2019,55.1
6/1/2019,55.3
7/1/2019,55.4
8/1/2019,55.5
9/1/2019,55.6
10/1/2019,55.5
11/1/2019,55.5
12/1/2019,55.6
1/1/2020,55.5
2/1/2020,55.4
3/1/2020,55.6
4/1/2020,54.9
5/1/2020,54.9
6/1/2020,54.9
7/1/2020,54.7
8/1/2020,54.6
9/1/2020,54.7
10/1/2020,53.8
11/1/2020,53.9
12/1/2020,54.1
1/1/2021,54.1
2/1/2021,54.1
3/1/2021,54.3
4/1/2021,54.2
5/1/2021,54.5
6/1/2021,54.7
7/1/2021,54.548
8/1/2021,54.766
9/1/2021,54.875
10/1/2021,54.947
11/1/2021,55.251
12/1/2021,55.42
1/1/2022,56.336
2/1/2022,56.366
3/1/2022,56.726
4/1/2022,56.488
5/1/2022,56.624
6/1/2022,56.916
7/1/2022,56.804
8/1/2022,56.632
9/1/2022,56.822
10/1/2022,57.313
11/1/2022,57.591
12/1/2022,57.607
1/1/2023,57.231
2/1/2023,57.227
3/1/2023,57.291
4/1/2023,57.142
5/1/2023,56.58
6/1/2023,56.733
7/1/2023,56.919
8/1/2023,57.125
9/1/2023,57.362
10/1/2023,57.374
11/1/2023,57.591
12/1/2023,57.536
1/1/2024,57.919
2/1/2024,57.832
3/1/2024,57.867
